Road,Primary Road,,,,Secondary Road,
From,North,North,South,South,West,East
To,East,South,West,North, East+North, West+South
Green Time [sec],25,45,25,45,15,25
Red Time [sec],95,75,95,75,105,95
G2R,0.263157895,0.6,0.263157895,0.6,0.142857143,0.263157895
cycle 1 - Buffer Zone,5,8,5,9,10,21
cycle 1 - BZ-After green,0,0,0,0,0,0
cycle 1 - Zero Latency,7,2,0,0,4,0
cycle 1- Throuput,12,10,5,9,14,21
cycle 2 - Buffer Zone,8,8,10,10,17,20
cycle 2 - BZ-After green,0,0,1,0,0,0
cycle 2 - Zero Latency,3,6,0,4,1,3
cycle 2-  Throuput,11,14,9,14,18,23
